1155: T4_ARTEFACT_2H_ARCANESTAFF_HELL                                  : Adept's Occult Orb
1156: T4_ARTEFACT_2H_BOW_HELL                                          : Adept's Demonic Arrowheads
1157: T4_ARTEFACT_2H_BOW_KEEPER                                        : Adept's Carved Bone
1158: T4_ARTEFACT_2H_CLEAVER_HELL                                      : Adept's Demonic Blade
1159: T4_ARTEFACT_2H_COMBATSTAFF_MORGANA                               : Adept's Reinforced Morgana Pole
1160: T4_ARTEFACT_2H_CROSSBOWLARGE_MORGANA                             : Adept's Alluring Bolts
1161: T4_ARTEFACT_2H_CURSEDSTAFF_MORGANA                               : Adept's Bloodforged Catalyst
1162: T5_ARTEFACT_2H_CURSEDSTAFF_MORGANA                               : Expert's Bloodforged Catalyst
1163: T6_ARTEFACT_2H_CURSEDSTAFF_MORGANA                               : Master's Bloodforged Catalyst
1164: T7_ARTEFACT_2H_CURSEDSTAFF_MORGANA                               : Grandmaster's Bloodforged Catalyst
1165: T8_ARTEFACT_2H_CURSEDSTAFF_MORGANA                               : Elder's Bloodforged Catalyst
1166: T4_ARTEFACT_2H_DUALAXE_KEEPER                                    : Adept's Keeper Axeheads
1167: T4_ARTEFACT_2H_DUALCROSSBOW_HELL                                 : Adept's Hellish Bolts
1168: T4_ARTEFACT_2H_DUALHAMMER_HELL                                   : Adept's Hellish Hammer Heads
1169: T4_ARTEFACT_2H_DUALSCIMITAR_UNDEAD                               : Adept's Cursed Blades
1170: T4_ARTEFACT_2H_DUALSICKLE_UNDEAD                                 : Adept's Ghastly Blades
1171: T4_ARTEFACT_2H_ENIGMATICORB_MORGANA                              : Adept's Possessed Catalyst
1172: T4_ARTEFACT_2H_FIRESTAFF_HELL                                    : Adept's Burning Orb
1173: T4_ARTEFACT_2H_HALBERD_MORGANA                                   : Adept's Morgana Halberd Head
1174: T4_ARTEFACT_2H_HAMMER_UNDEAD                                     : Adept's Ancient Hammer Head
1175: T4_ARTEFACT_2H_HARPOON_HELL                                      : Adept's Infernal Harpoon Tip
1176: T4_ARTEFACT_MAIN_HOLYSTAFF_MORGANA                               : Adept's Possessed Scroll
1177: T4_ARTEFACT_2H_HOLYSTAFF_HELL                                    : Adept's Infernal Scroll
1178: T4_ARTEFACT_2H_HOLYSTAFF_UNDEAD                                  : Adept's Ghastly Scroll
